Item;Level;Time
item_faerie_fire;7;15
item_enchanted_mango;7;15
item_tango;7;15
item_clarity;7;15
item_flask;7;15
item_boots;10;20
item_orb_of_venom;10;20
item_quelling_blade;10;20
item_stout_shield;15;30
item_poor_mans_shield;15;30
item_branches;15;30
item_bottle;15;30
item_magic_wand;15;30
item_magic_stick;15;30
item_ring_of_basilius;15;30
item_ring_of_aquila;15;30
item_soul_ring;15;30
item_vladmir;20;35
item_urn_of_shadows;20;35
item_hand_of_midas;20;35
item_armlet;20;35
item_mask_of_madness;20;35
item_ancient_janggo;20;35
